subject	session	block	trial 	response duration	typeTop	typeBot	sameFlag	response	correctFlag	rt	rtFlag	face_top	x_top_target	y_top_target	x_top_probe	y_top_probe	face_bot	x_bot_target	y_bot_target	x_bot_probe	y_bot_probe
1	1	1	1	0.05	1	1	1	2	0	304.78	0	10	3	1	3	1	15	1	1	1	1
1	1	1	2	1.8	3	3	2	2	1	175.31	1	16	3	3	1	1	19	3	3	1	1
1	1	1	3	0.1	3	3	2	2	1	206.09	1	9	3	1	1	3	2	1	3	3	1
1	1	1	4	1.8	3	3	2	1	0	170.69	1	19	1	3	3	1	19	1	3	3	1
1	1	1	5	0.2	3	3	2	1	0	211.55	1	13	3	3	1	1	1	1	3	3	1
1	1	1	6	0.8	1	1	1	2	0	187.19	1	4	1	1	1	1	6	3	3	3	3
1	1	1	7	0.2	3	3	2	1	0	226.29	1	6	1	1	3	3	19	1	1	3	3
1	1	1	8	0.8	3	3	2	1	0	204.33	1	18	1	3	3	1	6	1	3	3	1
1	1	1	9	0.2	1	1	1	2	0	226.71	1	6	3	3	3	3	8	3	1	3	1
1	1	1	10	0.05	1	1	1	1	1	283.92	1	20	3	3	3	3	20	3	3	3	3
1	1	1	11	0.2	1	1	1	2	0	194.93	1	12	1	1	1	1	8	1	1	1	1
1	1	1	12	0.05	1	1	1	1	1	237.96	1	10	3	3	3	3	13	1	3	1	3
1	1	1	13	0.4	1	1	1	2	0	231.29	1	12	1	3	1	3	7	3	1	3	1
1	1	1	14	0.1	1	1	1	1	1	238.47	1	15	1	3	1	3	2	1	1	1	1
1	1	1	15	1.8	3	3	2	2	1	188.66	1	8	3	3	1	1	5	3	1	1	3
1	1	1	16	0.05	3	3	2	1	0	277.54	1	13	3	3	1	1	17	3	1	1	3
1	1	1	17	0.8	1	1	1	2	0	192.8	1	5	3	3	3	3	20	1	3	1	3
1	1	1	18	0.1	3	3	2	2	1	240.59	1	9	1	1	3	3	6	1	1	3	3
1	1	1	19	1.8	3	3	2	1	0	197.91	1	3	1	3	3	1	17	3	3	1	1
1	1	1	20	0.1	3	3	2	2	1	237.39	1	8	1	1	3	3	4	3	3	1	1
1	1	1	21	1.8	3	3	2	1	0	187.91	1	1	1	3	3	1	16	1	1	3	3
1	1	1	22	0.8	1	1	1	2	0	186.65	1	17	3	1	3	1	4	3	3	3	3
1	1	1	23	0.4	1	1	1	2	0	210.74	1	20	1	3	1	3	3	3	3	3	3
1	1	1	24	0.8	1	1	1	2	0	231.42	1	18	1	1	1	1	5	1	3	1	3
1	1	1	25	0.8	3	3	2	1	0	190.35	1	7	3	1	1	3	11	1	1	3	3
1	1	1	26	0.1	1	1	1	1	1	254.58	1	4	3	3	3	3	18	1	3	1	3
1	1	1	27	0.2	3	3	2	1	0	179.81	1	19	1	1	3	3	13	3	1	1	3
1	1	1	28	1.8	3	3	2	2	1	225.33	1	19	3	1	1	3	5	1	1	3	3
1	1	1	29	1.8	3	3	2	2	1	193.39	1	2	1	1	3	3	1	3	3	1	1
1	1	1	30	0.8	1	1	1	1	1	241.04	1	12	1	3	1	3	15	1	1	1	1
1	1	1	31	0.4	3	3	2	2	1	216.73	1	9	3	3	1	1	15	3	1	1	3
1	1	1	32	0.1	3	3	2	1	0	273.5	1	13	1	1	3	3	20	1	1	3	3
1	1	1	33	1.8	1	1	1	2	0	198.57	1	8	3	3	3	3	10	1	3	1	3
1	1	1	34	0.2	3	3	2	1	0	196.9	1	13	3	3	1	1	7	3	3	1	1
1	1	1	35	0.4	1	1	1	2	0	194.71	1	19	3	1	3	1	14	1	3	1	3
1	1	1	36	1.8	3	3	2	2	1	203.17	1	5	3	3	1	1	11	1	1	3	3
1	1	1	37	0.05	3	3	2	1	0	277.9	1	1	3	3	1	1	14	1	3	3	1
1	1	1	38	0.8	3	3	2	1	0	210.91	1	11	3	3	1	1	1	1	3	3	1
1	1	1	39	0.05	3	3	2	2	1	258.94	1	2	3	3	1	1	19	1	1	3	3
1	1	1	40	0.8	1	1	1	2	0	193.82	1	12	1	1	1	1	17	3	1	3	1
1	1	1	41	0.1	3	3	2	1	0	244.14	1	9	3	3	1	1	18	3	3	1	1
1	1	1	42	0.4	1	1	1	1	1	225	1	10	1	3	1	3	8	1	3	1	3
1	1	1	43	0.4	1	1	1	1	1	187.1	1	4	3	1	3	1	3	3	3	3	3
1	1	1	44	0.1	3	3	2	1	0	222.63	1	14	1	1	3	3	16	3	3	1	1
1	1	1	45	1.8	3	3	2	1	0	180.74	1	7	3	3	1	1	8	3	3	1	1
1	1	1	46	0.05	3	3	2	2	1	253.23	1	8	1	1	3	3	1	3	1	1	3
1	1	1	47	0.4	3	3	2	2	1	191.4	1	18	3	1	1	3	16	1	3	3	1
1	1	1	48	0.2	3	3	2	1	0	210.94	1	12	1	3	3	1	2	3	3	1	1
1	1	1	49	0.2	3	3	2	2	1	242.11	1	13	1	3	3	1	10	3	3	1	1
1	1	1	50	0.4	1	1	1	1	1	193.58	1	3	3	3	3	3	9	1	3	1	3
1	1	1	51	0.1	3	3	2	1	0	257.48	1	14	1	1	3	3	14	3	3	1	1
1	1	1	52	0.2	3	3	2	1	0	247.07	1	2	3	3	1	1	20	3	3	1	1
1	1	1	53	0.05	1	1	1	2	0	234.67	1	19	1	1	1	1	14	3	1	3	1
1	1	1	54	0.05	1	1	1	1	1	255.97	1	1	3	3	3	3	15	3	3	3	3
1	1	1	55	0.05	3	3	2	2	1	218.69	1	18	3	1	1	3	19	3	1	1	3
1	1	1	56	0.1	1	1	1	1	1	204.44	1	2	3	1	3	1	19	3	3	3	3
1	1	1	57	1.8	3	3	2	1	0	190.69	1	14	1	3	3	1	10	1	1	3	3
1	1	1	58	0.2	1	1	1	2	0	206.96	1	7	1	3	1	3	12	3	3	3	3
1	1	1	59	0.1	1	1	1	1	1	233.98	1	9	1	1	1	1	14	1	3	1	3
1	1	1	60	0.4	3	3	2	2	1	208.03	1	15	1	3	3	1	16	1	1	3	3
1	1	1	61	0.8	1	1	1	1	1	244.92	1	15	3	1	3	1	5	3	1	3	1
1	1	1	62	0.05	3	3	2	2	1	246.6	1	7	1	1	3	3	5	1	3	3	1
1	1	1	63	0.4	3	3	2	2	1	208.08	1	2	3	1	1	3	12	3	3	1	1
1	1	1	64	0.8	3	3	2	2	1	231.16	1	6	3	1	1	3	9	1	3	3	1
1	1	1	65	0.1	3	3	2	1	0	266.62	1	13	1	1	3	3	1	3	3	1	1
1	1	1	66	0.1	1	1	1	1	1	230.93	1	12	3	3	3	3	18	1	1	1	1
